127.0.0.1 - - [24/May/2017:12:03:37 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/May/2017:12:03:39 +0530] "GET /CollaborationRestServices/ HTTP/1.1" 200 57
0:0:0:0:0:0:0:1 - - [24/May/2017:12:03:52 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:03:52 +0530] "GET /CollaborationFrontEnd/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:03:52 +0530] "GET /CollaborationFrontEnd/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:03:52 +0530] "GET /CollaborationFrontEnd/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:03:52 +0530] "GET /CollaborationFrontEnd/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:03:52 +0530] "GET /CollaborationFrontEnd/controllers/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:03:52 +0530] "GET /CollaborationFrontEnd/controllers/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:03:52 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:03:52 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:03:53 +0530] "GET /CollaborationFrontEnd/Header/CommonHeader.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:03:53 +0530] "GET /CollaborationFrontEnd/Footer/CommonFooter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:03:53 +0530] "GET /CollaborationFrontEnd/Common/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:04:08 +0530] "GET /CollaborationFrontEnd/c_blog/CreateBlog.html HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [24/May/2017:12:04:40 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:04:40 +0530] "GET /CollaborationFrontEnd/js/angular.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:04:40 +0530] "GET /CollaborationFrontEnd/js/angular-cookies.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:04:40 +0530] "GET /CollaborationFrontEnd/js/angular-route.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:04:40 +0530] "GET /CollaborationFrontEnd/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:04:40 +0530] "GET /CollaborationFrontEnd/controllers/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:04:40 +0530] "GET /CollaborationFrontEnd/controllers/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:04:41 +0530] "GET /CollaborationFrontEnd/c_blog/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:04:41 +0530] "GET /CollaborationFrontEnd/c_blog/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:04:41 +0530] "GET /CollaborationFrontEnd/Header/CommonHeader.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:04:41 +0530] "GET /CollaborationFrontEnd/Footer/CommonFooter.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:04:41 +0530] "GET /CollaborationFrontEnd/c_blog/CreateBlog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:12:04:41 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/May/2017:12:04:59 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
